| lane/fixture                 | verdict    | apple-m4         | amd-mi325x-gfx942 |
| gbdt-symmetric/base          | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal      | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal_ftz  | IDENTICAL x2 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/dupes         | IDENTICAL x2 | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b |
| gbdt-symmetric/hashed        | IDENTICAL x2 | cf3de2636433b65a | cf3de2636433b65a |
| gbdt-symmetric/negative      | IDENTICAL x2 | fb9966f26639c286 | fb9966f26639c286 |
| gbdt-symmetric/odd           | IDENTICAL x2 | 0836bd47530040d0 | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x2 | b32c469f812adf25 | b32c469f812adf25 |
| gbdt-symmetric/wide          | IDENTICAL x2 | bc0084b9b1e30f87 | bc0084b9b1e30f87 |
| gemm-pinned/base             | IDENTICAL x2 | 931036cbc84c1ce0 | 931036cbc84c1ce0 |
| gemm-pinned/denormal         | IDENTICAL x2 | 026720f450eda8a3 | 026720f450eda8a3 |
| gemm-pinned/denormal_ftz     | IDENTICAL x2 | 026720f450eda8a3 | 026720f450eda8a3 |
| gemm-pinned/dupes            | IDENTICAL x2 | 4d5d6e4a621ef9af | 4d5d6e4a621ef9af |
| gemm-pinned/hashed           | IDENTICAL x2 | 06057c0eeb212963 | 06057c0eeb212963 |
| gemm-pinned/negative         | IDENTICAL x2 | 1ef67a1833b19819 | 1ef67a1833b19819 |
| gemm-pinned/odd              | IDENTICAL x2 | d5a7a31e551215d9 | d5a7a31e551215d9 |
| gemm-pinned/ties             | IDENTICAL x2 | 8ddd60b67526c1b1 | 8ddd60b67526c1b1 |
| gemm-pinned/wide             | IDENTICAL x2 | 01701582fa724ce4 | 01701582fa724ce4 |
| holtwinters/base             | IDENTICAL x2 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/denormal         | IDENTICAL x2 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/denormal_ftz     | IDENTICAL x2 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/dupes            | IDENTICAL x2 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/hashed           | IDENTICAL x2 | 66f688c307cabc3b | 66f688c307cabc3b |
| holtwinters/negative         | IDENTICAL x2 | 8fa4116875bdf59c | 8fa4116875bdf59c |
| holtwinters/odd              | IDENTICAL x2 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 |
| holtwinters/ties             | IDENTICAL x2 | b2a5df45db1395b0 | b2a5df45db1395b0 |
| holtwinters/wide             | IDENTICAL x2 | 560cdc45a69cc987 | 560cdc45a69cc987 |
| iforest/base                 | IDENTICAL x2 | 8703d4a008ffd13d | 8703d4a008ffd13d |
| iforest/denormal             | IDENTICAL x2 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b |
| iforest/denormal_ftz         | IDENTICAL x2 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b |
| iforest/dupes                | IDENTICAL x2 | b879bcf3dcf99f38 | b879bcf3dcf99f38 |
| iforest/hashed               | IDENTICAL x2 | 72260557474879ae | 72260557474879ae |
| iforest/negative             | IDENTICAL x2 | a5b7676e39778af5 | a5b7676e39778af5 |
| iforest/odd                  | IDENTICAL x2 | 9b849a13c8d35adb | 9b849a13c8d35adb |
| iforest/ties                 | IDENTICAL x2 | 5043855ee14799da | 5043855ee14799da |
| iforest/wide                 | IDENTICAL x2 | 8703d4a008ffd13d | 8703d4a008ffd13d |
| kde/base                     | IDENTICAL x2 | e0d6e3d0623d6112 | e0d6e3d0623d6112 |
| kde/denormal                 | IDENTICAL x2 | 2128392fe1eb228a | 2128392fe1eb228a |
| kde/denormal_ftz             | IDENTICAL x2 | 2128392fe1eb228a | 2128392fe1eb228a |
| kde/dupes                    | IDENTICAL x2 | e0d6e3d0623d6112 | e0d6e3d0623d6112 |
| kde/hashed                   | IDENTICAL x2 | dc279c30b7c5d070 | dc279c30b7c5d070 |
| kde/negative                 | IDENTICAL x2 | 84ca35b6a157c265 | 84ca35b6a157c265 |
| kde/odd                      | IDENTICAL x2 | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 |
| kde/ties                     | IDENTICAL x2 | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 |
| kde/wide                     | IDENTICAL x2 | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 |
| kmeans/base                  | IDENTICAL x2 | 5aa44cc11034dec9 | 5aa44cc11034dec9 |
| kmeans/denormal              | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/denormal_ftz          | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/dupes                 | IDENTICAL x2 | 2ae942d45a51757a | 2ae942d45a51757a |
| kmeans/hashed                | IDENTICAL x2 | 0a570e84b0002723 | 0a570e84b0002723 |
| kmeans/negative              | IDENTICAL x2 | d4cc38e75f8e2d75 | d4cc38e75f8e2d75 |
| kmeans/odd                   | IDENTICAL x2 | 43d8a3d3859f4143 | 43d8a3d3859f4143 |
| kmeans/ties                  | IDENTICAL x2 | 3de3e103006de69c | 3de3e103006de69c |
| kmeans/wide                  | IDENTICAL x2 | 6f0529fcb3d60536 | 6f0529fcb3d60536 |
| knn-clf/base                 | IDENTICAL x2 | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf |
| knn-clf/denormal             | IDENTICAL x2 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 |
| knn-clf/denormal_ftz         | IDENTICAL x2 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 |
| knn-clf/dupes                | IDENTICAL x2 | 855703a33d6460e5 | 855703a33d6460e5 |
| knn-clf/hashed               | IDENTICAL x2 | 9ddcb99c00d6b865 | 9ddcb99c00d6b865 |
| knn-clf/negative             | IDENTICAL x2 | 14109bcae1b2b950 | 14109bcae1b2b950 |
| knn-clf/odd                  | IDENTICAL x2 | b875a97832653115 | b875a97832653115 |
| knn-clf/ties                 | IDENTICAL x2 | e49edb14ac08e443 | e49edb14ac08e443 |
| knn-clf/wide                 | IDENTICAL x2 | a3167e29faf6ab4f | a3167e29faf6ab4f |
| knn-reg/base                 | IDENTICAL x2 | 33e7da5c3fdd343c | 33e7da5c3fdd343c |
| knn-reg/denormal             | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/denormal_ftz         | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 |
| knn-reg/dupes                | IDENTICAL x2 | 3bb71dcd3b676bd6 | 3bb71dcd3b676bd6 |
| knn-reg/hashed               | IDENTICAL x2 | 81f9b8890b3f8185 | 81f9b8890b3f8185 |
| knn-reg/negative             | IDENTICAL x2 | b34860cd7e03c8fe | b34860cd7e03c8fe |
| knn-reg/odd                  | IDENTICAL x2 | 4fddd38927851559 | 4fddd38927851559 |
| knn-reg/ties                 | IDENTICAL x2 | 556283a80ad1e387 | 556283a80ad1e387 |
| knn-reg/wide                 | IDENTICAL x2 | 0d128580a2408383 | 0d128580a2408383 |
| knn/base                     | IDENTICAL x2 | 6869ae45e01fcb7a | 6869ae45e01fcb7a |
| knn/denormal                 | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da |
| knn/denormal_ftz             | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da |
| knn/dupes                    | IDENTICAL x2 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 |
| knn/hashed                   | IDENTICAL x2 | 96db6b5a57d4d248 | 96db6b5a57d4d248 |
| knn/negative                 | IDENTICAL x2 | b73513bc451075d0 | b73513bc451075d0 |
| knn/odd                      | IDENTICAL x2 | f4ddd08c4744ae8d | f4ddd08c4744ae8d |
| knn/ties                     | IDENTICAL x2 | 23daf3a923d4c74f | 23daf3a923d4c74f |
| knn/wide                     | IDENTICAL x2 | 3956d623d56e1786 | 3956d623d56e1786 |
| lasso/base                   | IDENTICAL x2 | 2fa3301e45a46091 | 2fa3301e45a46091 |
| lasso/denormal               | IDENTICAL x2 | 5374b434a96382d6 | 5374b434a96382d6 |
| lasso/denormal_ftz           | IDENTICAL x2 | 5374b434a96382d6 | 5374b434a96382d6 |
| lasso/dupes                  | IDENTICAL x2 | beafb1d480c34cf4 | beafb1d480c34cf4 |
| lasso/hashed                 | IDENTICAL x2 | 0446105edc307f9c | 0446105edc307f9c |
| lasso/negative               | IDENTICAL x2 | c332c713694ff28d | c332c713694ff28d |
| lasso/odd                    | IDENTICAL x2 | 5593579edd6113d6 | 5593579edd6113d6 |
| lasso/ties                   | IDENTICAL x2 | 1e207f82f555270b | 1e207f82f555270b |
| lasso/wide                   | IDENTICAL x2 | d0df889b0ede05a7 | d0df889b0ede05a7 |
| logistic/base                | IDENTICAL x2 | 5b1e42c308451935 | 5b1e42c308451935 |
| logistic/denormal            | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/denormal_ftz        | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/dupes               | IDENTICAL x2 | 8b3071b0cd8446b2 | 8b3071b0cd8446b2 |
| logistic/hashed              | IDENTICAL x2 | ec4fd3f1b3f90393 | ec4fd3f1b3f90393 |
| logistic/negative            | IDENTICAL x2 | b50b9cbe101d71d8 | b50b9cbe101d71d8 |
| logistic/odd                 | IDENTICAL x2 | 3c0d0924516a37e8 | 3c0d0924516a37e8 |
| logistic/ties                | IDENTICAL x2 | aa9b1fa93dc2ad08 | aa9b1fa93dc2ad08 |
| logistic/wide                | IDENTICAL x2 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 |
| metrics/base                 | IDENTICAL x2 | 2e2d6c84f00b9a0b | 2e2d6c84f00b9a0b |
| metrics/denormal             | IDENTICAL x2 | 70d525921f2192ca | 70d525921f2192ca |
| metrics/denormal_ftz         | IDENTICAL x2 | 70d525921f2192ca | 70d525921f2192ca |
| metrics/dupes                | IDENTICAL x2 | b9bf5106a8b03644 | b9bf5106a8b03644 |
| metrics/hashed               | IDENTICAL x2 | 2a276b0f2347d198 | 2a276b0f2347d198 |
| metrics/negative             | IDENTICAL x2 | 745d2eae0be9da2c | 745d2eae0be9da2c |
| metrics/odd                  | IDENTICAL x2 | 8a7b2852763f246e | 8a7b2852763f246e |
| metrics/ties                 | IDENTICAL x2 | ea3e4d8076a7ea42 | ea3e4d8076a7ea42 |
| metrics/wide                 | IDENTICAL x2 | 1244dee823ddccf9 | 1244dee823ddccf9 |
| ols/base                     | IDENTICAL x2 | 3d1d7c30b12d9872 | 3d1d7c30b12d9872 |
| ols/denormal                 | IDENTICAL x2 | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/denormal_ftz             | IDENTICAL x2 | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/dupes                    | IDENTICAL x2 | 5d93af9edf61d3e7 | 5d93af9edf61d3e7 |
| ols/hashed                   | IDENTICAL x2 | 7a4cc4b643207e04 | 7a4cc4b643207e04 |
| ols/negative                 | IDENTICAL x2 | 737566e6c5e95e7d | 737566e6c5e95e7d |
| ols/odd                      | IDENTICAL x2 | bfb2368a5a4871ba | bfb2368a5a4871ba |
| ols/ties                     | IDENTICAL x2 | c73c0c1158ebcb9e | c73c0c1158ebcb9e |
| ols/wide                     | IDENTICAL x2 | 880f803e2a9840cf | 880f803e2a9840cf |
| pca/base                     | IDENTICAL x2 | 426e098860cb885e | 426e098860cb885e |
| pca/denormal                 | IDENTICAL x2 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/denormal_ftz             | IDENTICAL x2 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/dupes                    | IDENTICAL x2 | f0d80567379e28e4 | f0d80567379e28e4 |
| pca/hashed                   | IDENTICAL x2 | 9c43c580f84b913e | 9c43c580f84b913e |
| pca/negative                 | IDENTICAL x2 | c4903e2bddacb305 | c4903e2bddacb305 |
| pca/odd                      | IDENTICAL x2 | 2bde4e929e103470 | 2bde4e929e103470 |
| pca/ties                     | IDENTICAL x2 | 2cc3098a82f5e29c | 2cc3098a82f5e29c |
| pca/wide                     | IDENTICAL x2 | ee30334357c2fe6e | ee30334357c2fe6e |
| rf-clf/base                  | IDENTICAL x2 | 21178dc5457bf5dc | 21178dc5457bf5dc |
| rf-clf/denormal              | IDENTICAL x2 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/denormal_ftz          | IDENTICAL x2 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/dupes                 | IDENTICAL x2 | 941ea7485b906b92 | 941ea7485b906b92 |
| rf-clf/hashed                | IDENTICAL x2 | 30000a54b1ebf87f | 30000a54b1ebf87f |
| rf-clf/negative              | IDENTICAL x2 | 5c321c2a1e99f705 | 5c321c2a1e99f705 |
| rf-clf/odd                   | IDENTICAL x2 | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a |
| rf-clf/ties                  | IDENTICAL x2 | 578c313bdad14449 | 578c313bdad14449 |
| rf-clf/wide                  | IDENTICAL x2 | e57dc48ebb4fda48 | e57dc48ebb4fda48 |
| rf-reg/base                  | IDENTICAL x2 | f032017cfd1c73dd | f032017cfd1c73dd |
| rf-reg/denormal              | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/denormal_ftz          | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/dupes                 | IDENTICAL x2 | 55f5becd2a3a172c | 55f5becd2a3a172c |
| rf-reg/hashed                | IDENTICAL x2 | c755113ac878c8b9 | c755113ac878c8b9 |
| rf-reg/negative              | IDENTICAL x2 | cd81c456c75aaaf0 | cd81c456c75aaaf0 |
| rf-reg/odd                   | IDENTICAL x2 | 33f207a8fab32866 | 33f207a8fab32866 |
| rf-reg/ties                  | IDENTICAL x2 | ec6e7b28cd0d16a9 | ec6e7b28cd0d16a9 |
| rf-reg/wide                  | IDENTICAL x2 | 8d9b05172d7a3777 | 8d9b05172d7a3777 |
| ridge/base                   | IDENTICAL x2 | a91478be750dc756 | a91478be750dc756 |
| ridge/denormal               | IDENTICAL x2 | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/denormal_ftz           | IDENTICAL x2 | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/dupes                  | IDENTICAL x2 | c69b8fef7932da21 | c69b8fef7932da21 |
| ridge/hashed                 | IDENTICAL x2 | fb5037b3d70d60ee | fb5037b3d70d60ee |
| ridge/negative               | IDENTICAL x2 | 473e3ff40fc67b0e | 473e3ff40fc67b0e |
| ridge/odd                    | IDENTICAL x2 | bdaf14e02a8f07ec | bdaf14e02a8f07ec |
| ridge/ties                   | IDENTICAL x2 | 42410e35cdae30cb | 42410e35cdae30cb |
| ridge/wide                   | IDENTICAL x2 | 7215c2605901cdc6 | 7215c2605901cdc6 |
| spectral/base                | IDENTICAL x2 | 7dd80ac8f13fc9eb | 7dd80ac8f13fc9eb |
| spectral/denormal            | IDENTICAL x2 | 4544b0d64dd6ad84 | 4544b0d64dd6ad84 |
| spectral/denormal_ftz        | IDENTICAL x2 | 4544b0d64dd6ad84 | 4544b0d64dd6ad84 |
| spectral/dupes               | IDENTICAL x2 | 7dd80ac8f13fc9eb | 7dd80ac8f13fc9eb |
| spectral/hashed              | IDENTICAL x2 | 2bd3b69e87fa6b9b | 2bd3b69e87fa6b9b |
| spectral/negative            | IDENTICAL x2 | de29c53c40a728c5 | de29c53c40a728c5 |
| spectral/odd                 | IDENTICAL x2 | a48b941d2c585a12 | a48b941d2c585a12 |
| spectral/ties                | IDENTICAL x2 | f160e7dc7c262f73 | f160e7dc7c262f73 |
| spectral/wide                | IDENTICAL x2 | d1857f998728ef34 | d1857f998728ef34 |
| svc/base                     | IDENTICAL x2 | dec306e940b8a444 | dec306e940b8a444 |
| svc/denormal                 | IDENTICAL x2 | 549c0b5c319d84cf | 549c0b5c319d84cf |
| svc/denormal_ftz             | IDENTICAL x2 | 549c0b5c319d84cf | 549c0b5c319d84cf |
| svc/dupes                    | IDENTICAL x2 | b2f0d9a49c9f241c | b2f0d9a49c9f241c |
| svc/hashed                   | IDENTICAL x2 | 274bf9087fb0750e | 274bf9087fb0750e |
| svc/negative                 | IDENTICAL x2 | 667155f7eda847aa | 667155f7eda847aa |
| svc/odd                      | IDENTICAL x2 | 61b1676a7e40c914 | 61b1676a7e40c914 |
| svc/ties                     | IDENTICAL x2 | 2093351e33d072ed | 2093351e33d072ed |
| svc/wide                     | IDENTICAL x2 | 550d1845e417ca18 | 550d1845e417ca18 |
| tsvd/base                    | IDENTICAL x2 | 8e8d20af1d08720c | 8e8d20af1d08720c |
| tsvd/denormal                | IDENTICAL x2 | 36d9e3d5aaadcd92 | 36d9e3d5aaadcd92 |
| tsvd/denormal_ftz            | IDENTICAL x2 | 36d9e3d5aaadcd92 | 36d9e3d5aaadcd92 |
| tsvd/dupes                   | IDENTICAL x2 | 9a24cf55eff6013c | 9a24cf55eff6013c |
| tsvd/hashed                  | IDENTICAL x2 | 7eeaca88b0e6a8de | 7eeaca88b0e6a8de |
| tsvd/negative                | IDENTICAL x2 | 22e0958cc1ded92d | 22e0958cc1ded92d |
| tsvd/odd                     | IDENTICAL x2 | 452fd865062565da | 452fd865062565da |
| tsvd/ties                    | IDENTICAL x2 | 86d6e87cfc1f48c0 | 86d6e87cfc1f48c0 |
| tsvd/wide                    | IDENTICAL x2 | 975f2a167b1ac6d5 | 975f2a167b1ac6d5 |

summary: IDENTICAL=252

| lane/fixture                 | column | verdict      | apple-m4         | amd-mi325x-gfx942 |
|------------------------------|--------|--------------|------------------|------------------|
| agglomerative/base           | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/base           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/denormal       | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/denormal_ftz   | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/denormal_ftz   | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/dupes          | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/dupes          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/hashed         | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/hashed         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/negative       | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/negative       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/odd            | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/odd            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/ties           | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/ties           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| agglomerative/wide           | infer  | N/A          | n/a:transductive | n/a:transductive |
| agglomerative/wide           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/base                  | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/base                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/denormal              | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/denormal              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/denormal_ftz          | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/denormal_ftz          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/dupes                 | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/dupes                 | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/hashed                | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/hashed                | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/negative              | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/negative              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/odd                   | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/odd                   | model  | N/A          | n/a:no-save      | n/a:no-save      |
| dbscan/ties                  | infer  | N/A          | n/a:transductive | n/a:transductive |
| dbscan/ties                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
