NOTE: --lanes scopes this diff to 8 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host'] commit=bb937d57b15ab745d6db2d27a410b6bad2fb82f6
| lane/fixture                 | verdict    | apple-m4         | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|
| kmeans-array/base            | IDENTICAL x2 | 37ab2f0355ef716a | 37ab2f0355ef716a |
| kmeans-array/denormal        | IDENTICAL x2 | 92a2b78d865ad9b0 | 92a2b78d865ad9b0 |
| kmeans-array/odd             | IDENTICAL x2 | 5b347e0f29ddb844 | 5b347e0f29ddb844 |
| kmeans-array/ties            | IDENTICAL x2 | f7e7677d5ae7597f | f7e7677d5ae7597f |
| kmeans-classic-pp/base       | IDENTICAL x2 | e6648c8209c562ac | e6648c8209c562ac |
| kmeans-classic-pp/denormal   | IDENTICAL x2 | d3ba0ebbb0af1b3e | d3ba0ebbb0af1b3e |
| kmeans-classic-pp/odd        | IDENTICAL x2 | a47bec6025e076d8 | a47bec6025e076d8 |
| kmeans-classic-pp/ties       | IDENTICAL x2 | b0f1aa9e9e7adf6f | b0f1aa9e9e7adf6f |
| kmeans-cosine/base           | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/denormal       | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/odd            | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/ties           | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-random/base           | IDENTICAL x2 | 2bab0cda9f319dbb | 2bab0cda9f319dbb |
| kmeans-random/denormal       | IDENTICAL x2 | ddb08cf02222e6a3 | ddb08cf02222e6a3 |
| kmeans-random/odd            | IDENTICAL x2 | f22e6751eeedc598 | f22e6751eeedc598 |
| kmeans-random/ties           | IDENTICAL x2 | 9f90e48e2d5a4ce4 | 9f90e48e2d5a4ce4 |
| kmeans-sqrt/base             | IDENTICAL x2 | 8864be3c295d6c4a | 8864be3c295d6c4a |
| kmeans-sqrt/denormal         | IDENTICAL x2 | c2486d60db950886 | c2486d60db950886 |
| kmeans-sqrt/odd              | IDENTICAL x2 | cd50fd82b95de87a | cd50fd82b95de87a |
| kmeans-sqrt/ties             | IDENTICAL x2 | 07a5cce02a00bdae | 07a5cce02a00bdae |
| kmeans-weighted/base         | IDENTICAL x2 | 5080fbf55610f54e | 5080fbf55610f54e |
| kmeans-weighted/denormal     | IDENTICAL x2 | c3613adfb9158691 | c3613adfb9158691 |
| kmeans-weighted/odd          | IDENTICAL x2 | fc6107e901e7d7be | fc6107e901e7d7be |
| kmeans-weighted/ties         | IDENTICAL x2 | a7070391c3cc52fb | a7070391c3cc52fb |
| kmeans/base                  | IDENTICAL x2 | 5aa44cc11034dec9 | 5aa44cc11034dec9 |
| kmeans/denormal              | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/odd                   | IDENTICAL x2 | 43d8a3d3859f4143 | 43d8a3d3859f4143 |
| kmeans/ties                  | IDENTICAL x2 | 3de3e103006de69c | 3de3e103006de69c |
| par-kmeans/base              | ONE-COLUMN | 5aa44cc11034dec9 | REFUSED          |
| par-kmeans/denormal          | ONE-COLUMN | 993fe5caff144b0c | REFUSED          |
| par-kmeans/odd               | ONE-COLUMN | 43d8a3d3859f4143 | REFUSED          |
| par-kmeans/ties              | ONE-COLUMN | 3de3e103006de69c | REFUSED          |

summary: IDENTICAL=28, ONE-COLUMN=4

| lane/fixture                 | column | verdict      | apple-m4         | cpu-apple-m4     |
| kmeans-random/base           | batch  | IDENTICAL x2 | 41f3015cf8e0680a | 41f3015cf8e0680a |
| kmeans-random/denormal       | infer  | IDENTICAL x2 | f1b6a290aca7f88d | f1b6a290aca7f88d |
| kmeans-random/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/denormal       | batch  | IDENTICAL x2 | 88799e781dfe5a5b | 88799e781dfe5a5b |
| kmeans-random/odd            | infer  | IDENTICAL x2 | df29a616a051e530 | df29a616a051e530 |
| kmeans-random/odd            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/odd            | batch  | IDENTICAL x2 | 53b58fa53fc8a4c3 | 53b58fa53fc8a4c3 |
| kmeans-random/ties           | infer  | IDENTICAL x2 | 6698384517f202cd | 6698384517f202cd |
| kmeans-random/ties           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/ties           | batch  | IDENTICAL x2 | 9dba3245a60df276 | 9dba3245a60df276 |
| kmeans-sqrt/base             | infer  | IDENTICAL x2 | 58a73ee6f884f892 | 58a73ee6f884f892 |
| kmeans-sqrt/base             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/base             | batch  | IDENTICAL x2 | 50d831d9342c295e | 50d831d9342c295e |
| kmeans-sqrt/denormal         | infer  | IDENTICAL x2 | 5613aee8380a3878 | 5613aee8380a3878 |
| kmeans-sqrt/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/denormal         | batch  | IDENTICAL x2 | 79378a3a1acbc98e | 79378a3a1acbc98e |
| kmeans-sqrt/odd              | infer  | IDENTICAL x2 | d57783b77ce4e554 | d57783b77ce4e554 |
| kmeans-sqrt/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/odd              | batch  | IDENTICAL x2 | 308b44148cf1b4d5 | 308b44148cf1b4d5 |
| kmeans-sqrt/ties             | infer  | IDENTICAL x2 | 11403f38e806a8a7 | 11403f38e806a8a7 |
| kmeans-sqrt/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/ties             | batch  | IDENTICAL x2 | 59f927df98783136 | 59f927df98783136 |
| kmeans-weighted/base         | infer  | IDENTICAL x2 | 33403bafb4259ce4 | 33403bafb4259ce4 |
| kmeans-weighted/base         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/base         | batch  | IDENTICAL x2 | bd21da2a20bcf33f | bd21da2a20bcf33f |
| kmeans-weighted/denormal     | infer  | IDENTICAL x2 | 03780e8f5ba1bb21 | 03780e8f5ba1bb21 |
| kmeans-weighted/denormal     | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/denormal     | batch  | IDENTICAL x2 | d4c912e6b87b383e | d4c912e6b87b383e |
| kmeans-weighted/odd          | infer  | IDENTICAL x2 | 86bea24bd326b655 | 86bea24bd326b655 |
| kmeans-weighted/odd          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/odd          | batch  | IDENTICAL x2 | 2ac9fe78151082ea | 2ac9fe78151082ea |
| kmeans-weighted/ties         | infer  | IDENTICAL x2 | f1a40d6c9595a677 | f1a40d6c9595a677 |
| kmeans-weighted/ties         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/ties         | batch  | IDENTICAL x2 | 797f19f2820413c0 | 797f19f2820413c0 |
| kmeans/base                  | infer  | IDENTICAL x2 | 3d50c4c50bf078b2 | 3d50c4c50bf078b2 |
| kmeans/base                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/base                  | batch  | IDENTICAL x2 | ce34789a012168b5 | ce34789a012168b5 |
| kmeans/denormal              | infer  | IDENTICAL x2 | 9b15ee1cac8ce636 | 9b15ee1cac8ce636 |
| kmeans/denormal              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/denormal              | batch  | IDENTICAL x2 | cd11da38d7d996eb | cd11da38d7d996eb |
| kmeans/odd                   | infer  | IDENTICAL x2 | 191287260610940c | 191287260610940c |
| kmeans/odd                   | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/odd                   | batch  | IDENTICAL x2 | 06c7a23bc000d13d | 06c7a23bc000d13d |
| kmeans/ties                  | infer  | IDENTICAL x2 | 0e9dcaedec0fcadc | 0e9dcaedec0fcadc |
| kmeans/ties                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/ties                  | batch  | IDENTICAL x2 | ff636ffbdf6153fe | ff636ffbdf6153fe |
| par-kmeans/base              | infer  | ONE-COLUMN   | 3d50c4c50bf078b2 | REFUSED          |
| par-kmeans/base              | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/base              | batch  | ONE-COLUMN   | ce34789a012168b5 | REFUSED          |
| par-kmeans/denormal          | infer  | ONE-COLUMN   | 9b15ee1cac8ce636 | REFUSED          |
| par-kmeans/denormal          | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/denormal          | batch  | ONE-COLUMN   | cd11da38d7d996eb | REFUSED          |
| par-kmeans/odd               | infer  | ONE-COLUMN   | 191287260610940c | REFUSED          |
| par-kmeans/odd               | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/odd               | batch  | ONE-COLUMN   | 06c7a23bc000d13d | REFUSED          |
| par-kmeans/ties              | infer  | ONE-COLUMN   | 0e9dcaedec0fcadc | REFUSED          |
| par-kmeans/ties              | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/ties              | batch  | ONE-COLUMN   | ff636ffbdf6153fe | REFUSED          |

summary (infer/model): IDENTICAL=24, N/A=36, ONE-COLUMN=4
summary (batch): IDENTICAL=24, N/A=4, ONE-COLUMN=4
summary (rlpair): 
